image_id,fold,row,col,contribution,attention
Duodenum_ABCA9_Male_55_1920.jpg,1,0,0,-0.000051,0.000015
Duodenum_ABCA9_Male_55_1920.jpg,1,0,1,-0.000073,0.000020
Duodenum_ABCA9_Male_55_1920.jpg,1,0,2,-0.000133,0.000052
Duodenum_ABCA9_Male_55_1920.jpg,1,0,3,-0.000026,0.000020
Duodenum_ABCA9_Male_55_1920.jpg,1,0,4,-0.000005,0.000031
Duodenum_ABCA9_Male_55_1920.jpg,1,0,5,-0.000070,0.000040
Duodenum_ABCA9_Male_55_1920.jpg,1,0,6,-0.000052,0.000015
Duodenum_ABCA9_Male_55_1920.jpg,1,0,7,-0.000067,0.000019
Duodenum_ABCA9_Male_55_1920.jpg,1,1,0,-0.000063,0.000018
Duodenum_ABCA9_Male_55_1920.jpg,1,1,1,-0.000034,0.000016
Duodenum_ABCA9_Male_55_1920.jpg,1,1,2,0.370428,0.104466
Duodenum_ABCA9_Male_55_1920.jpg,1,1,3,0.001811,0.005909
Duodenum_ABCA9_Male_55_1920.jpg,1,1,4,-0.000072,0.000066
Duodenum_ABCA9_Male_55_1920.jpg,1,1,5,-0.000024,0.000060
Duodenum_ABCA9_Male_55_1920.jpg,1,1,6,-0.000544,0.000682
Duodenum_ABCA9_Male_55_1920.jpg,1,1,7,-0.000183,0.000062
Duodenum_ABCA9_Male_55_1920.jpg,1,2,0,-0.000039,0.000011
Duodenum_ABCA9_Male_55_1920.jpg,1,2,1,0.001629,0.000891
Duodenum_ABCA9_Male_55_1920.jpg,1,2,2,0.004751,0.003293
Duodenum_ABCA9_Male_55_1920.jpg,1,2,3,-0.000005,0.000178
Duodenum_ABCA9_Male_55_1920.jpg,1,2,4,0.572654,0.182584
Duodenum_ABCA9_Male_55_1920.jpg,1,2,5,0.001697,0.001651
Duodenum_ABCA9_Male_55_1920.jpg,1,2,6,-0.000022,0.000223
Duodenum_ABCA9_Male_55_1920.jpg,1,2,7,-0.000043,0.000023
Duodenum_ABCA9_Male_55_1920.jpg,1,3,0,-0.000021,0.000023
Duodenum_ABCA9_Male_55_1920.jpg,1,3,1,3.017236,0.614942
Duodenum_ABCA9_Male_55_1920.jpg,1,3,2,0.008322,0.004665
Duodenum_ABCA9_Male_55_1920.jpg,1,3,3,0.020505,0.010525
Duodenum_ABCA9_Male_55_1920.jpg,1,3,4,0.007255,0.003212
Duodenum_ABCA9_Male_55_1920.jpg,1,3,5,-0.000334,0.000220
Duodenum_ABCA9_Male_55_1920.jpg,1,3,6,-0.000034,0.000043
Duodenum_ABCA9_Male_55_1920.jpg,1,3,7,-0.000174,0.000100
Duodenum_ABCA9_Male_55_1920.jpg,1,4,0,-0.000013,0.000010
Duodenum_ABCA9_Male_55_1920.jpg,1,4,1,0.000074,0.000259
Duodenum_ABCA9_Male_55_1920.jpg,1,4,2,0.013795,0.005327
Duodenum_ABCA9_Male_55_1920.jpg,1,4,3,-0.000150,0.000150
Duodenum_ABCA9_Male_55_1920.jpg,1,4,4,0.013428,0.006499
Duodenum_ABCA9_Male_55_1920.jpg,1,4,5,0.023645,0.014219
Duodenum_ABCA9_Male_55_1920.jpg,1,4,6,-0.000050,0.000029
Duodenum_ABCA9_Male_55_1920.jpg,1,4,7,-0.000082,0.000112
Duodenum_ABCA9_Male_55_1920.jpg,1,5,0,-0.000017,0.000012
Duodenum_ABCA9_Male_55_1920.jpg,1,5,1,0.000986,0.001704
Duodenum_ABCA9_Male_55_1920.jpg,1,5,2,0.010365,0.005894
Duodenum_ABCA9_Male_55_1920.jpg,1,5,3,0.000068,0.000572
Duodenum_ABCA9_Male_55_1920.jpg,1,5,4,-0.003582,0.012378
Duodenum_ABCA9_Male_55_1920.jpg,1,5,5,0.000236,0.000368
Duodenum_ABCA9_Male_55_1920.jpg,1,5,6,-0.000020,0.000239
Duodenum_ABCA9_Male_55_1920.jpg,1,5,7,-0.000126,0.000044
Duodenum_ABCA9_Male_55_1920.jpg,1,6,0,-0.000038,0.000011
Duodenum_ABCA9_Male_55_1920.jpg,1,6,1,-0.000008,0.000030
Duodenum_ABCA9_Male_55_1920.jpg,1,6,2,-0.000132,0.000195
Duodenum_ABCA9_Male_55_1920.jpg,1,6,3,0.005249,0.006258
Duodenum_ABCA9_Male_55_1920.jpg,1,6,4,0.016814,0.010442
Duodenum_ABCA9_Male_55_1920.jpg,1,6,5,-0.000058,0.000116
Duodenum_ABCA9_Male_55_1920.jpg,1,6,6,-0.000482,0.000856
Duodenum_ABCA9_Male_55_1920.jpg,1,6,7,-0.000032,0.000008
Duodenum_ABCA9_Male_55_1920.jpg,1,7,0,-0.000043,0.000013
Duodenum_ABCA9_Male_55_1920.jpg,1,7,1,-0.000039,0.000011
Duodenum_ABCA9_Male_55_1920.jpg,1,7,2,-0.000023,0.000011
Duodenum_ABCA9_Male_55_1920.jpg,1,7,3,-0.000010,0.000035
Duodenum_ABCA9_Male_55_1920.jpg,1,7,4,-0.000071,0.000060
Duodenum_ABCA9_Male_55_1920.jpg,1,7,5,-0.000051,0.000023
Duodenum_ABCA9_Male_55_1920.jpg,1,7,6,-0.000045,0.000012
Duodenum_ABCA9_Male_55_1920.jpg,1,7,7,-0.000075,0.000023
Duodenum_ACAP2_Male_55_1920.jpg,1,0,0,-0.015070,0.005002
Duodenum_ACAP2_Male_55_1920.jpg,1,0,1,-0.012862,0.004102
Duodenum_ACAP2_Male_55_1920.jpg,1,0,2,-0.010885,0.003088
Duodenum_ACAP2_Male_55_1920.jpg,1,0,3,-0.017024,0.004684
Duodenum_ACAP2_Male_55_1920.jpg,1,0,4,-0.017181,0.003616
