image_id,fold,row,col,contribution,attention
Duodenum_ABCA9_Male_55_1920.jpg,1,0,0,-0.000005,0.000001
Duodenum_ABCA9_Male_55_1920.jpg,1,0,1,-0.000005,0.000001
Duodenum_ABCA9_Male_55_1920.jpg,1,0,2,-0.000006,0.000002
Duodenum_ABCA9_Male_55_1920.jpg,1,0,3,-0.000001,0.000015
Duodenum_ABCA9_Male_55_1920.jpg,1,0,4,0.000378,0.00026
Duodenum_ABCA9_Male_55_1920.jpg,1,0,5,-0.000019,0.000009
Duodenum_ABCA9_Male_55_1920.jpg,1,0,6,-0.000008,0.000002
Duodenum_ABCA9_Male_55_1920.jpg,1,0,7,-0.000005,0.000001
Duodenum_ABCA9_Male_55_1920.jpg,1,1,0,-0.000007,0.000002
Duodenum_ABCA9_Male_55_1920.jpg,1,1,1,-0.000006,0.000002
Duodenum_ABCA9_Male_55_1920.jpg,1,1,2,0.87177,0.165867
Duodenum_ABCA9_Male_55_1920.jpg,1,1,3,0.000916,0.001086
Duodenum_ABCA9_Male_55_1920.jpg,1,1,4,0.000841,0.000278
Duodenum_ABCA9_Male_55_1920.jpg,1,1,5,0.000502,0.000252
Duodenum_ABCA9_Male_55_1920.jpg,1,1,6,0.00008,0.000362
Duodenum_ABCA9_Male_55_1920.jpg,1,1,7,-0.00001,0.000003
Duodenum_ABCA9_Male_55_1920.jpg,1,2,0,-0.000007,0.000002
Duodenum_ABCA9_Male_55_1920.jpg,1,2,1,0.007082,0.002618
Duodenum_ABCA9_Male_55_1920.jpg,1,2,2,0.000685,0.000314
Duodenum_ABCA9_Male_55_1920.jpg,1,2,3,0.000149,0.000322
Duodenum_ABCA9_Male_55_1920.jpg,1,2,4,0.267305,0.061732
Duodenum_ABCA9_Male_55_1920.jpg,1,2,5,0.129491,0.034364
Duodenum_ABCA9_Male_55_1920.jpg,1,2,6,0.006899,0.002123
Duodenum_ABCA9_Male_55_1920.jpg,1,2,7,-0.000015,0.000016
Duodenum_ABCA9_Male_55_1920.jpg,1,3,0,-0.000002,0.000005
Duodenum_ABCA9_Male_55_1920.jpg,1,3,1,0.713642,0.12176
Duodenum_ABCA9_Male_55_1920.jpg,1,3,2,0.004998,0.002374
Duodenum_ABCA9_Male_55_1920.jpg,1,3,3,0.019286,0.005908
Duodenum_ABCA9_Male_55_1920.jpg,1,3,4,0.11159,0.035483
Duodenum_ABCA9_Male_55_1920.jpg,1,3,5,0.000671,0.000466
Duodenum_ABCA9_Male_55_1920.jpg,1,3,6,0.001588,0.00043
Duodenum_ABCA9_Male_55_1920.jpg,1,3,7,-0.000013,0.000021
Duodenum_ABCA9_Male_55_1920.jpg,1,4,0,-0.000005,0.000004
Duodenum_ABCA9_Male_55_1920.jpg,1,4,1,0.003646,0.003392
Duodenum_ABCA9_Male_55_1920.jpg,1,4,2,0.008536,0.004095
Duodenum_ABCA9_Male_55_1920.jpg,1,4,3,-0.00003,0.000277
Duodenum_ABCA9_Male_55_1920.jpg,1,4,4,0.008269,0.003433
Duodenum_ABCA9_Male_55_1920.jpg,1,4,5,2.230472,0.477085
Duodenum_ABCA9_Male_55_1920.jpg,1,4,6,0.000349,0.000145
Duodenum_ABCA9_Male_55_1920.jpg,1,4,7,0.000004,0.000042
