tile_path,tile_id,image_id,row,col,fold
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c0.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,0,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c1.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c1.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,1,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c2.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c2.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,2,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c3.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c3.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,3,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c4.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c4.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,4,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c5.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c5.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,5,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c6.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c6.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,6,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r0c7.jpg,Small_intestine_AGTPBP1_Female_44_1800__r0c7.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,0,7,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r1c0.jpg,Small_intestine_AGTPBP1_Female_44_1800__r1c0.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,0,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r1c1.jpg,Small_intestine_AGTPBP1_Female_44_1800__r1c1.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,1,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r1c2.jpg,Small_intestine_AGTPBP1_Female_44_1800__r1c2.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,2,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r1c3.jpg,Small_intestine_AGTPBP1_Female_44_1800__r1c3.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,3,1
loc_tiles/Small_intestine_AGTPBP1_Female_44_1800__r1c4.jpg,Small_intestine_AGTPBP1_Female_44_1800__r1c4.jpg,Small_intestine_AGTPBP1_Female_44_1800.jpg,1,4,1
