source_image,donor,label,stage,flash_v2,flash_v5,flash_v6_score,flash_v4,tile_yes,pro_v2,pro_v6_score,unusable_votes
Duodenum_A1CF_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_AACS_Female_62_3515.jpg,3515,usable,2,usable,usable,2,usable,6,usable,10,1
Duodenum_AACS_Female_67_3479.jpg,3479,usable,1,usable,usable,10,,,,,
Duodenum_AACS_Male_59_1961.jpg,1961,usable,1,usable,usable,9,,,,,
Duodenum_AAGAB_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_AAGAB_Male_35_3219.jpg,3219,usable,1,usable,usable,10,,,,,
Duodenum_AAGAB_Male_55_1920.jpg,1920,usable,1,usable,usable,10,,,,,
Duodenum_AARS2_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_AARS2_Male_35_3219.jpg,3219,usable,1,usable,usable,10,,,,,
Duodenum_AARS2_Male_55_1920.jpg,1920,usable,1,usable,usable,8,,,,,
Duodenum_AASDH_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_AASDH_Male_35_3219.jpg,3219,usable,1,usable,usable,10,,,,,
Duodenum_AASDH_Male_55_1920.jpg,1920,usable,1,usable,usable,10,,,,,
Duodenum_AASS_Male_54_2562.jpg,2562,usable,2,unusable,usable,2,usable,3,unusable,9,3
Duodenum_AATF_Female_53_3413.jpg,3413,unusable,1,unusable,unusable,0,,,,,
Duodenum_AATF_Male_66_2329.jpg,2329,usable,1,usable,usable,9,,,,,
Duodenum_ABCA5_Male_54_2562.jpg,2562,usable,1,usable,usable,10,,,,,
Duodenum_ABCA9_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_ABCA9_Female_67_3479.jpg,3479,usable,1,usable,usable,10,,,,,
Duodenum_ABCA9_Male_55_1920.jpg,1920,usable,1,usable,usable,10,,,,,
Duodenum_ABCD3_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
Duodenum_ABCD3_Male_35_3219.jpg,3219,usable,1,usable,usable,10,,,,,
Duodenum_ABCD3_Male_55_1920.jpg,1920,usable,1,usable,usable,10,,,,,
Duodenum_ABCE1_Male_54_2562.jpg,2562,usable,1,usable,usable,9,,,,,
Duodenum_ABCF1_Male_54_2562.jpg,2562,usable,1,usable,usable,10,,,,,
Duodenum_ABCF3_Male_35_3219.jpg,3219,unusable,1,unusable,unusable,2,,,,,
Duodenum_ABCF3_Male_55_1920.jpg,1920,usable,1,usable,usable,9,,,,,
Duodenum_ABCG2_Female_62_3515.jpg,3515,usable,1,usable,usable,10,,,,,
